claim_id,description
1,"My car was rear-ended at a traffic signal yesterday. The bumper and tail lights are damaged."
2,"A water pipe burst in my kitchen causing damage to cabinets and flooring."
3,"A customer slipped on a wet floor in my store and suffered a minor injury."
4,"My parked vehicle was hit overnight and the driver left the scene."
5,"Strong winds damaged part of my roof during last week's storm."
6,"The neighbor claims my dog damaged their garden fence and is demanding compensation."
7,"My car windshield cracked after a stone hit it on the highway."
8,"A fire started in the garage and damaged stored household items."
9,"I have reported this issue multiple times and still haven't received help. If this isn't resolved soon I may contact my lawyer."
10,"After the incident at the parking area, both my vehicle and nearby property were damaged. I'm not sure who is responsible."
